submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
03/05/2021,Oklahoma,435087,344011.0,91076.0,364,94.0,6972,5934.0,1038.0,7,0.0,03/06/2021 12:00:00 AM,Agree,Agree
03/05/2021,New York,935418,,,4100,0.0,18166,,,48,0.0,03/06/2021 03:08:48 PM,Not agree,Not agree
03/05/2021,Alaska,56959,,,136,0.0,328,,,2,0.0,03/05/2021 12:00:00 AM,,
03/05/2021,New Mexico,186460,,,304,0.0,3670,,,18,0.0,03/07/2021 12:00:00 AM,,Not agree
03/05/2021,Utah,373868,373868.0,0.0,549,0.0,1970,1914.0,56.0,5,0.0,03/06/2021 03:08:48 PM,Agree,Agree
03/05/2021,Iowa,338774,,,505,132.0,5549,,,13,13.0,03/06/2021 03:08:48 PM,Not agree,Not agree
03/05/2021,Florida,1902026,,,4675,1236.0,32580,,,86,8.0,03/05/2021 12:00:00 AM,Not agree,Not agree
03/05/2021,North Dakota,100278,94866.0,5412.0,0,0.0,1448,,,0,0.0,03/05/2021 12:16:41 PM,Agree,Not agree
03/05/2021,Ohio,976230,834857.0,141373.0,1750,665.0,17656,17656.0,0.0,467,0.0,03/06/2021 03:08:48 PM,Agree,Agree
03/05/2021,Georgia,1019509,826117.0,193392.0,2081,768.0,17815,15526.0,2289.0,65,1.0,03/06/2021 03:08:48 PM,Agree,Agree
03/05/2021,Mississippi,298745,185060.0,113685.0,406,231.0,7069,4917.0,2152.0,7,2.0,03/07/2021 12:00:00 AM,Agree,Agree
03/06/2021,Indiana,667519,,,1244,0.0,12693,12300.0,393.0,29,0.0,03/06/2021 12:00:00 AM,Not agree,Agree
